path,revision,git_blob,sha256,bytes
docs/evidence/2026-09-10-observation/source_hashes.json,dc1203b85f115a5eb3acb686b1c87a43305fb732,b4a7ff2fd7e1df8665b484893f606ac3dc0e6d17,8133e53cd92052685aa906416875eec4cf9eaa78c40dceb0890be3412eb2c057,5250
reviews/2026-09-08/README.md,dc1203b85f115a5eb3acb686b1c87a43305fb732,f97d3ddb5b9855a0616d9c12f1b7e74b6093c76f,61e9d218cdce312359b1ec81030242b5e07fb754c7c1e340e57994fda6cfa4df,16509
reviews/2026-09-08/contract_probe.c,dc1203b85f115a5eb3acb686b1c87a43305fb732,5c2e563cd497581b81d777485e0f0252d27e1a65,45a6d113eb944b03c5572905ac4c9ead57daf586dab2dd60eb1e81247fb8f716,4663
reviews/2026-09-08/control_probe.c,dc1203b85f115a5eb3acb686b1c87a43305fb732,6796af92df7cd68df8799f00fa95a102f67bc687,bf3b245a5aee378fafbb8cf603c388bd6a409cac5c4049e2ca1391e9db9dda25,6967
reviews/2026-09-08/pump_probe.c,dc1203b85f115a5eb3acb686b1c87a43305fb732,c441187b3d7a0a8b156c81f632376c6356e328c9,68f75f7e532f84fe06982692809cdc6fa9e263fbc1a465241f271952f44f00c2,10233
reviews/2026-09-08/quota_probe.c,dc1203b85f115a5eb3acb686b1c87a43305fb732,1d241cdd15dd3468f2f02a87566d967b953c59f8,7b42e91122b31c69e3bb367e7b72f943c0a04c1822dda2c8d4c377f16eb7ccaa,3749
reviews/2026-09-08/results.json,dc1203b85f115a5eb3acb686b1c87a43305fb732,3d6d8942f5a7c9adb1479dd76afb5e0bbc56535b,dace1e2e3bd632fb93bfdceae0ea9444851cdcb2cc59da97c52678d272678f66,6829
reviews/2026-09-08/run_analysis.py,dc1203b85f115a5eb3acb686b1c87a43305fb732,1e9afc65aa28eee8825f9adca2132ab238975986,f14516a1afd9b6ba84e121932f95a0d8a51de5c703ae69b45fe55cb8d961943b,1878
reviews/2026-09-08/run_probes.py,dc1203b85f115a5eb3acb686b1c87a43305fb732,d1b339bbe117b4f936f8c333d85b5ed32b34eee7,90ac0fe31010338816cf9521e26ba59d2c18e50d1a664b2400c9b37e3d7a42d2,2692
reviews/2026-09-08/storage_probe.c,dc1203b85f115a5eb3acb686b1c87a43305fb732,9e7a093d7728274bd180c5997b7e6565af4ee348,c277be17c587bf6f30ec245e511fd45f5a5d5d81c7ddac9583a4281e381e24d8,3518
